"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 05, 2020","2,181.87","2,151.17","2,187.25","2,138.18","840.07K","1.43%"
"Jun 04, 2020","2,151.18","2,181.64","2,191.00","2,139.68","1.39B","0.19%"
"Jun 03, 2020","2,147.00","2,108.55","2,156.55","2,107.69","1.15B","2.87%"
"Jun 02, 2020","2,087.19","2,061.45","2,089.43","2,059.14","1.00B","1.07%"
"Jun 01, 2020","2,065.08","2,037.04","2,065.38","2,035.63","997.35M","1.75%"
"May 29, 2020","2,029.60","2,018.37","2,038.89","2,006.62","1.09B","0.05%"
"May 28, 2020","2,028.54","2,047.08","2,054.52","2,003.75","1.17B","-0.13%"
"May 27, 2020","2,031.20","2,027.90","2,043.44","2,019.82","1.18B","0.07%"
"May 26, 2020","2,029.78","2,001.00","2,029.89","1,997.94","1.02B","1.76%"
"May 25, 2020","1,994.60","1,980.51","1,994.90","1,967.84","641.46M","1.24%"
"May 22, 2020","1,970.13","2,001.60","2,002.65","1,961.40","847.47M","-1.41%"
"May 21, 2020","1,998.31","2,003.20","2,004.95","1,993.00","601.20M","0.44%"
"May 20, 2020","1,989.64","1,972.12","1,992.20","1,972.12","699.45M","0.46%"
"May 19, 2020","1,980.61","1,977.47","1,983.77","1,968.59","773.41M","2.25%"
"May 18, 2020","1,937.11","1,934.51","1,943.07","1,921.14","761.69M","0.51%"
"May 15, 2020","1,927.28","1,937.63","1,938.59","1,913.21","866.36M","0.12%"
"May 14, 2020","1,924.96","1,922.44","1,931.43","1,913.49","760.65M","-0.80%"
"May 13, 2020","1,940.42","1,897.50","1,940.42","1,897.24","618.78M","0.95%"
"May 12, 2020","1,922.17","1,938.62","1,938.62","1,905.17","799.93M","-0.68%"
"May 11, 2020","1,935.40","1,953.51","1,960.46","1,932.87","591.28M","-0.54%"
"May 08, 2020","1,945.82","1,944.94","1,956.89","1,942.54","784.77M","0.89%"
"May 07, 2020","1,928.61","1,922.00","1,938.50","1,918.57","775.66M","-0.01%"
"May 06, 2020","1,928.76","1,919.45","1,928.76","1,902.55","1.08B","1.76%"
"May 04, 2020","1,895.37","1,906.42","1,918.66","1,894.29","1.15B","-2.68%"
"Apr 29, 2020","1,947.56","1,936.89","1,957.51","1,934.31","1.98B","0.70%"
"Apr 28, 2020","1,934.09","1,931.25","1,941.79","1,911.63","1.17B","0.59%"
"Apr 27, 2020","1,922.77","1,897.06","1,929.82","1,894.62","735.66M","1.79%"
"Apr 24, 2020","1,889.01","1,906.07","1,908.29","1,880.71","933.92M","-1.34%"
"Apr 23, 2020","1,914.73","1,907.45","1,923.53","1,895.98","683.72M","0.98%"
"Apr 22, 2020","1,896.15","1,855.51","1,897.90","1,844.85","820.36M","0.89%"
"Apr 21, 2020","1,879.38","1,886.78","1,898.32","1,841.66","1.17B","-1.00%"
"Apr 20, 2020","1,898.36","1,908.34","1,925.25","1,893.17","1.09B","-0.84%"
"Apr 17, 2020","1,914.53","1,893.31","1,926.02","1,893.19","1.67B","3.09%"
"Apr 16, 2020","1,857.07","1,839.51","1,862.23","1,828.13","878.34M","-0.00%"
"Apr 14, 2020","1,857.08","1,846.41","1,864.46","1,837.17","886.77M","1.72%"
"Apr 13, 2020","1,825.76","1,853.30","1,853.30","1,825.76","1.02B","-1.88%"
"Apr 10, 2020","1,860.70","1,835.76","1,861.10","1,824.43","992.55M","1.33%"
"Apr 09, 2020","1,836.21","1,838.09","1,839.33","1,818.30","920.57M","1.61%"
"Apr 08, 2020","1,807.14","1,815.75","1,842.16","1,801.80","907.49M","-0.90%"
"Apr 07, 2020","1,823.60","1,826.72","1,838.97","1,791.92","951.74M","1.77%"
"Apr 06, 2020","1,791.88","1,745.25","1,794.19","1,742.67","1.22B","3.85%"
"Apr 03, 2020","1,725.44","1,731.17","1,743.91","1,706.68","1.00B","0.03%"
